season,round,circuitID,country,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,position,positionText,grid,points,driverID,nationality,constructorID,laps,status,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos
1990,1,phoenix,USA,False,True,False,False,True,1,1,5,9.0,senna,Brazilian,mclaren,72,Finished,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,2,2,4,6.0,alesi,French,tyrrell,72,Finished,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,3,3,9,4.0,boutsen,Belgian,williams,72,Finished,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,4,4,6,3.0,piquet,Brazilian,benetton,72,Finished,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,5,5,10,2.0,modena,Italian,brabham,72,Finished,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,6,6,11,1.0,satoru_nakajima,Japanese,tyrrell,71,+1 Lap,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,7,7,2,0.0,martini,Italian,minardi,71,+1 Lap,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,8,8,15,0.0,bernard,French,larrousse,71,+1 Lap,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,9,9,12,0.0,patrese,Italian,williams,71,+1 Lap,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,10,10,21,0.0,alboreto,Italian,arrows,70,+2 Laps,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,11,11,22,0.0,nannini,Italian,benetton,70,+2 Laps,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,12,12,20,0.0,schneider,German,arrows,70,+2 Laps,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,13,13,16,0.0,moreno,Brazilian,eurobrun,67,+5 Laps,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,14,14,25,0.0,gugelmin,Brazilian,leyton,66,+6 Laps,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,15,R,14,0.0,barilla,Italian,minardi,54,Physical,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,16,R,18,0.0,suzuki,Japanese,larrousse,53,Brakes,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,17,R,17,0.0,mansell,British,ferrari,49,Clutch,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,18,R,1,0.0,berger,Austrian,mclaren,44,Clutch,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,19,R,23,0.0,foitek,Swiss,brabham,39,Accident,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,20,R,8,0.0,grouillard,French,osella,39,Collision,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,21,R,3,0.0,cesaris,Italian,dallara,25,Engine,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,22,R,7,0.0,prost,French,ferrari,21,Oil leak,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,23,R,26,0.0,capelli,Italian,leyton,20,Electrical,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,24,R,24,0.0,warwick,British,team_lotus,6,Gearbox,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,25,R,13,0.0,larini,Italian,ligier,4,Throttle,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,26,R,19,0.0,donnelly,British,team_lotus,0,Gearbox,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,27,D,0,0.0,alliot,French,ligier,0,Disqualified,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,28,F,0,0.0,johansson,Swedish,onyx,0,Did not qualify,0,0,0,0,0,0
1990,1,phoenix,USA,False,True,False,False,True,29,F,0,0.0,morbidelli,Italian,dallara,0,Did not qualify,0,0,0,0,0,0
